Cancer.Site,Stage.At.Diagnosis,Geography,Year,Age.Group,Gender,Race,Average.Annual.Population,Average.Annual.Observations,Age.Adj..Rate.per.100.000,X95..CI,counties
All,Invasive,Adams,2016-2020,All,Male,All,10282,14,175.4,"[135.7, 224.2]",Adams
All,Invasive,Adams,2016-2020,All,Female,All,9889,9,101.4,"[73.6, 136.6]",Adams
All,Invasive,Adams,2016-2020,All,All,All,20172,23,134.6,"[110.8, 162.3]",Adams
All,Invasive,Asotin,2016-2020,All,Male,All,10756,28,156.3,"[130.7, 187.7]",Asotin
All,Invasive,Asotin,2016-2020,All,Female,All,11370,24,119.4,"[97.9, 146.4]",Asotin
All,Invasive,Asotin,2016-2020,All,All,All,22126,51,136.2,"[119.5, 155.6]",Asotin
All,Invasive,Benton,2016-2020,All,Male,All,98978,174,170.5,"[159.0, 182.6]",Benton
All,Invasive,Benton,2016-2020,All,Female,All,99958,151,123.1,"[114.3, 132.4]",Benton
All,Invasive,Benton,2016-2020,All,All,All,198936,325,143.7,"[136.7, 151.0]",Benton
All,Invasive,Chelan,2016-2020,All,Male,All,38595,81,155.8,"[140.6, 172.5]",Chelan
All,Invasive,Chelan,2016-2020,All,Female,All,38682,72,122.9,"[110.1, 137.2]",Chelan
All,Invasive,Chelan,2016-2020,All,All,All,77278,153,137.4,"[127.6, 147.9]",Chelan
All,Invasive,Clallam,2016-2020,All,Male,All,37283,133,184.1,"[169.6, 200.3]",Clallam
All,Invasive,Clallam,2016-2020,All,Female,All,38345,110,134.3,"[122.3, 147.9]",Clallam
All,Invasive,Clallam,2016-2020,All,All,All,75628,243,156.4,"[147.1, 166.5]",Clallam
All,Invasive,Clark,2016-2020,All,Male,All,237977,428,173.2,"[165.7, 181.0]",Clark
All,Invasive,Clark,2016-2020,All,Female,All,243884,402,132.5,"[126.7, 138.6]",Clark
All,Invasive,Clark,2016-2020,All,All,All,481861,830,149.6,"[145.0, 154.3]",Clark
All,Invasive,Columbia,2016-2020,All,Male,All,1973,7,185.1,"[128.9, 277.8]",Columbia
All,Invasive,Columbia,2016-2020,All,Female,All,1998,7,154,"[104.9, 243.6]",Columbia
All,Invasive,Columbia,2016-2020,All,All,All,3971,14,167.2,"[129.5, 222.1]",Columbia
All,Invasive,Cowlitz,2016-2020,All,Male,All,53421,150,213,"[197.6, 229.6]",Cowlitz
All,Invasive,Cowlitz,2016-2020,All,Female,All,54522,124,156.5,"[144.1, 170.0]",Cowlitz
All,Invasive,Cowlitz,2016-2020,All,All,All,107943,274,181.8,"[172.0, 192.0]",Cowlitz
All,Invasive,Douglas,2016-2020,All,Male,All,20946,36,146.9,"[125.8, 171.1]",Douglas
All,Invasive,Douglas,2016-2020,All,Female,All,20701,35,127.2,"[108.6, 148.6]",Douglas
All,Invasive,Douglas,2016-2020,All,All,All,41647,71,135.5,"[121.5, 151.0]",Douglas
All,Invasive,Ferry,2016-2020,All,Male,All,3694,11,175.9,"[128.5, 244.7]",Ferry
All,Invasive,Ferry,2016-2020,All,Female,All,3550,10,174.7,"[126.6, 244.8]",Ferry
All,Invasive,Ferry,2016-2020,All,All,All,7245,21,173,"[139.4, 216.5]",Ferry
All,Invasive,Franklin,2016-2020,All,Male,All,47829,48,143.9,"[125.4, 164.8]",Franklin
All,Invasive,Franklin,2016-2020,All,Female,All,44703,46,129.1,"[112.6, 147.6]",Franklin
All,Invasive,Franklin,2016-2020,All,All,All,92532,94,135.5,"[123.1, 148.9]",Franklin
All,Invasive,Garfield,2016-2020,All,Male,All,1149,2,139.4,"[64.0, 294.5]",Garfield
All,Invasive,Garfield,2016-2020,All,Female,All,1124,3,144,"[82.0, 309.8]",Garfield
All,Invasive,Garfield,2016-2020,All,All,All,2272,6,142.3,"[90.8, 231.0]",Garfield
All,Invasive,Grant,2016-2020,All,Male,All,49209,84,173.2,"[156.7, 191.2]",Grant
All,Invasive,Grant,2016-2020,All,Female,All,46950,69,130.4,"[116.8, 145.3]",Grant
All,Invasive,Grant,2016-2020,All,All,All,96159,153,149.8,"[139.2, 161.0]",Grant
All,Invasive,Grays Harbor,2016-2020,All,Male,All,38179,105,193.7,"[176.8, 212.1]",Grays Harbor
All,Invasive,Grays Harbor,2016-2020,All,Female,All,36373,96,162.8,"[147.9, 179.2]",Grays Harbor
All,Invasive,Grays Harbor,2016-2020,All,All,All,74552,201,176.7,"[165.6, 188.6]",Grays Harbor
All,Invasive,Island,2016-2020,All,Male,All,42072,101,156.1,"[142.2, 171.5]",Island
All,Invasive,Island,2016-2020,All,Female,All,42860,97,133.1,"[120.7, 146.9]",Island
All,Invasive,Island,2016-2020,All,All,All,84932,198,143.5,"[134.3, 153.5]",Island
All,Invasive,Jefferson,2016-2020,All,Male,All,15920,55,147.4,"[129.2, 170.3]",Jefferson
All,Invasive,Jefferson,2016-2020,All,Female,All,16416,50,133.1,"[114.4, 157.2]",Jefferson
All,Invasive,Jefferson,2016-2020,All,All,All,32336,105,139.3,"[126.2, 154.7]",Jefferson
All,Invasive,King,2016-2020,All,Male,All,1096115,1510,151.4,"[147.9, 155.0]",King
All,Invasive,King,2016-2020,All,Female,All,1094637,1417,113.1,"[110.5, 115.8]",King
All,Invasive,King,2016-2020,All,All,All,2190752,2927,129.2,"[127.1, 131.3]",King
All,Invasive,Kitsap,2016-2020,All,Male,All,136205,263,166.3,"[157.1, 175.9]",Kitsap
All,Invasive,Kitsap,2016-2020,All,Female,All,132989,227,120.8,"[113.7, 128.3]",Kitsap
All,Invasive,Kitsap,2016-2020,All,All,All,269194,490,140.4,"[134.8, 146.3]",Kitsap
All,Invasive,Kittitas,2016-2020,All,Male,All,22480,43,168.8,"[146.1, 194.8]",Kittitas
All,Invasive,Kittitas,2016-2020,All,Female,All,22165,35,122.6,"[104.8, 143.5]",Kittitas
All,Invasive,Kittitas,2016-2020,All,All,All,44645,78,143.5,"[129.3, 159.3]",Kittitas
All,Invasive,Klickitat,2016-2020,All,Male,All,11295,33,182.8,"[154.1, 217.4]",Klickitat
All,Invasive,Klickitat,2016-2020,All,Female,All,10818,26,153.4,"[126.8, 186.5]",Klickitat
All,Invasive,Klickitat,2016-2020,All,All,All,22113,59,166,"[146.6, 188.3]",Klickitat
All,Invasive,Lewis,2016-2020,All,Male,All,40168,113,203.1,"[186.2, 221.5]",Lewis
All,Invasive,Lewis,2016-2020,All,Female,All,40148,96,149.4,"[136.1, 164.2]",Lewis
All,Invasive,Lewis,2016-2020,All,All,All,80317,210,174,"[163.3, 185.3]",Lewis
All,Invasive,Lincoln,2016-2020,All,Male,All,5414,15,159.9,"[124.1, 208.8]",Lincoln
All,Invasive,Lincoln,2016-2020,All,Female,All,5351,12,133.4,"[98.9, 182.5]",Lincoln
All,Invasive,Lincoln,2016-2020,All,All,All,10765,27,145.6,"[120.5, 177.3]",Lincoln
All,Invasive,Mason,2016-2020,All,Male,All,33239,100,203.9,"[185.6, 223.9]",Mason
All,Invasive,Mason,2016-2020,All,Female,All,31257,72,136.7,"[122.3, 152.9]",Mason
All,Invasive,Mason,2016-2020,All,All,All,64496,172,168.7,"[157.1, 181.1]",Mason
All,Invasive,Okanogan,2016-2020,All,Male,All,21467,60,186.2,"[164.8, 210.5]",Okanogan
All,Invasive,Okanogan,2016-2020,All,Female,All,20466,51,153.8,"[134.6, 176.2]",Okanogan
All,Invasive,Okanogan,2016-2020,All,All,All,41932,111,168.7,"[154.4, 184.4]",Okanogan
All,Invasive,Pacific,2016-2020,All,Male,All,11357,45,202.9,"[176.0, 235.3]",Pacific
All,Invasive,Pacific,2016-2020,All,Female,All,11398,33,142.6,"[119.7, 172.7]",Pacific
All,Invasive,Pacific,2016-2020,All,All,All,22755,77,170.4,"[152.8, 190.8]",Pacific
All,Invasive,Pend Oreille,2016-2020,All,Male,All,6738,23,200,"[161.3, 249.5]",Pend Oreille
All,Invasive,Pend Oreille,2016-2020,All,Female,All,6542,15,125.8,"[98.0, 165.2]",Pend Oreille
All,Invasive,Pend Oreille,2016-2020,All,All,All,13280,38,160.2,"[136.5, 189.1]",Pend Oreille
All,Invasive,Pierce,2016-2020,All,Male,All,442332,774,181.9,"[176.0, 188.0]",Pierce
All,Invasive,Pierce,2016-2020,All,Female,All,449353,697,131.2,"[126.8, 135.7]",Pierce
All,Invasive,Pierce,2016-2020,All,All,All,891685,1472,152.4,"[148.9, 156.0]",Pierce
All,Invasive,San Juan,2016-2020,All,Male,All,8396,22,124.8,"[100.4, 159.8]",San Juan
All,Invasive,San Juan,2016-2020,All,Female,All,8842,21,122.1,"[97.6, 156.8]",San Juan
All,Invasive,San Juan,2016-2020,All,All,All,17238,43,123.8,"[106.2, 146.3]",San Juan
All,Invasive,Skagit,2016-2020,All,Male,All,62062,163,184,"[171.3, 197.7]",Skagit
All,Invasive,Skagit,2016-2020,All,Female,All,63868,133,130.4,"[120.2, 141.4]",Skagit
All,Invasive,Skagit,2016-2020,All,All,All,125929,296,154.4,"[146.4, 162.8]",Skagit
All,Invasive,Skamania,2016-2020,All,Male,All,5817,14,175.5,"[134.7, 229.7]",Skamania
All,Invasive,Skamania,2016-2020,All,Female,All,5607,9,110.3,"[78.7, 156.5]",Skamania
All,Invasive,Skamania,2016-2020,All,All,All,11424,23,143.5,"[117.1, 176.6]",Skamania
All,Invasive,Snohomish,2016-2020,All,Male,All,399947,665,176.1,"[169.9, 182.5]",Snohomish
