Cancer.Site,Stage.At.Diagnosis,Geography,Year,Age.Group,Gender,Race,Average.Annual.Population,Average.Annual.Observations,Age.Adj..Rate.per.100.000,X95..CI,counties
All,All,Adams,2016-2020,All,Male,All,10282,35,396.6,"[338.6, 463.2]",Adams
All,All,Adams,2016-2020,All,Female,All,9889,29,319.6,"[268.6, 377.8]",Adams
All,All,Adams,2016-2020,All,All,All,20172,64,356.6,"[318.0, 399.0]",Adams
All,All,Asotin,2016-2020,All,Male,All,10756,59,349.5,"[308.5, 396.3]",Asotin
All,All,Asotin,2016-2020,All,Female,All,11370,55,317.7,"[278.2, 362.9]",Asotin
All,All,Asotin,2016-2020,All,All,All,22126,114,331.7,"[303.1, 363.1]",Asotin
All,All,Benton,2016-2020,All,Male,All,98978,449,411.7,"[394.4, 429.7]",Benton
All,All,Benton,2016-2020,All,Female,All,99958,459,397.2,"[380.7, 414.4]",Benton
All,All,Benton,2016-2020,All,All,All,198936,908,401.5,"[389.6, 413.7]",Benton
All,All,Chelan,2016-2020,All,Male,All,38595,287,552.2,"[523.1, 583.0]",Chelan
All,All,Chelan,2016-2020,All,Female,All,38682,257,479.3,"[452.1, 508.1]",Chelan
All,All,Chelan,2016-2020,All,All,All,77278,544,511.8,"[492.0, 532.4]",Chelan
All,All,Clallam,2016-2020,All,Male,All,37283,421,592.7,"[565.4, 621.5]",Clallam
All,All,Clallam,2016-2020,All,Female,All,38345,362,520.2,"[492.3, 549.8]",Clallam
All,All,Clallam,2016-2020,All,All,All,75628,783,549.8,"[530.4, 570.0]",Clallam
All,All,Clark,2016-2020,All,Male,All,237977,1090,414,"[402.8, 425.5]",Clark
All,All,Clark,2016-2020,All,Female,All,243884,1226,413.3,"[402.7, 424.0]",Clark
All,All,Clark,2016-2020,All,All,All,481861,2317,410.1,"[402.5, 417.8]",Clark
All,All,Columbia,2016-2020,All,Male,All,1973,15,401.4,"[308.6, 529.2]",Columbia
All,All,Columbia,2016-2020,All,Female,All,1998,13,435.9,"[323.3, 589.6]",Columbia
All,All,Columbia,2016-2020,All,All,All,3971,28,415.1,"[341.6, 506.3]",Columbia
All,All,Cowlitz,2016-2020,All,Male,All,53421,304,426,"[404.1, 449.0]",Cowlitz
All,All,Cowlitz,2016-2020,All,Female,All,54522,312,420.8,"[399.2, 443.5]",Cowlitz
All,All,Cowlitz,2016-2020,All,All,All,107943,616,420.5,"[405.2, 436.4]",Cowlitz
All,All,Douglas,2016-2020,All,Male,All,20946,134,523.6,"[483.6, 566.6]",Douglas
All,All,Douglas,2016-2020,All,Female,All,20701,134,509.1,"[470.0, 551.0]",Douglas
All,All,Douglas,2016-2020,All,All,All,41647,268,512.7,"[484.9, 542.0]",Douglas
All,All,Ferry,2016-2020,All,Male,All,3694,19,274.9,"[218.1, 351.6]",Ferry
All,All,Ferry,2016-2020,All,Female,All,3550,21,368.2,"[294.1, 463.4]",Ferry
All,All,Ferry,2016-2020,All,All,All,7245,41,322.8,"[275.4, 379.8]",Ferry
All,All,Franklin,2016-2020,All,Male,All,47829,142,380.5,"[351.7, 411.5]",Franklin
All,All,Franklin,2016-2020,All,Female,All,44703,137,359.2,"[332.2, 388.0]",Franklin
All,All,Franklin,2016-2020,All,All,All,92532,279,366.8,"[347.2, 387.4]",Franklin
All,All,Garfield,2016-2020,All,Male,All,1149,6,275.5,"[178.7, 440.5]",Garfield
All,All,Garfield,2016-2020,All,Female,All,1124,8,441.6,"[303.0, 671.3]",Garfield
All,All,Garfield,2016-2020,All,All,All,2272,14,356.9,"[270.8, 477.0]",Garfield
All,All,Grant,2016-2020,All,Male,All,49209,240,469,"[442.3, 497.1]",Grant
All,All,Grant,2016-2020,All,Female,All,46950,206,404.3,"[379.5, 430.6]",Grant
All,All,Grant,2016-2020,All,All,All,96159,447,433.3,"[415.2, 452.1]",Grant
All,All,Grays Harbor,2016-2020,All,Male,All,38179,303,537.3,"[509.3, 566.8]",Grays Harbor
All,All,Grays Harbor,2016-2020,All,Female,All,36373,282,508.4,"[480.4, 538.1]",Grays Harbor
All,All,Grays Harbor,2016-2020,All,All,All,74552,586,519,"[499.4, 539.5]",Grays Harbor
All,All,Island,2016-2020,All,Male,All,42072,378,571,"[543.9, 599.5]",Island
All,All,Island,2016-2020,All,Female,All,42860,347,507.9,"[481.7, 535.6]",Island
All,All,Island,2016-2020,All,All,All,84932,725,534.2,"[515.5, 553.7]",Island
All,All,Jefferson,2016-2020,All,Male,All,15920,214,582.6,"[543.1, 626.4]",Jefferson
All,All,Jefferson,2016-2020,All,Female,All,16416,180,538.3,"[495.2, 586.7]",Jefferson
All,All,Jefferson,2016-2020,All,All,All,32336,395,558.4,"[529.2, 590.1]",Jefferson
All,All,King,2016-2020,All,Male,All,1096115,5736,530.5,"[524.2, 536.8]",King
All,All,King,2016-2020,All,Female,All,1094637,6258,509.5,"[503.8, 515.3]",King
All,All,King,2016-2020,All,All,All,2190752,11999,512.7,"[508.6, 516.9]",King
All,All,Kitsap,2016-2020,All,Male,All,136205,957,569.7,"[553.1, 586.8]",Kitsap
All,All,Kitsap,2016-2020,All,Female,All,132989,887,497.3,"[482.0, 513.0]",Kitsap
